family,arm,case,time_s,net_difference_kwh
T1,MPC,dir_m5,0,0.0
T1,MPC,dir_m5,20,0.0
T1,MPC,dir_m5,40,0.0
T1,MPC,dir_m5,60,0.0
T1,MPC,dir_m5,80,0.0
T1,MPC,dir_m5,100,0.0
T1,MPC,dir_m5,120,0.0
T1,MPC,dir_m5,140,0.0
T1,MPC,dir_m5,160,0.0
T1,MPC,dir_m5,180,0.0
T1,MPC,dir_m5,200,-1.1131307654300266
T1,MPC,dir_m5,220,-1.34694102063836
T1,MPC,dir_m5,240,-1.7304987741105822
T1,MPC,dir_m5,260,-2.2064876543189156
T1,MPC,dir_m5,280,-2.131118003277249
T1,MPC,dir_m5,300,-2.1917170067494713
T1,MPC,dir_m5,320,-2.302256237652249
T1,MPC,dir_m5,340,-2.444418803624471
T1,MPC,dir_m5,360,-2.3406042289716935
T1,MPC,dir_m5,380,-2.181407647374471
T1,MPC,dir_m5,400,-3.6514873837619355
T1,MPC,dir_m5,420,-4.751633685845269
T1,MPC,dir_m5,440,-6.145691949734157
T1,MPC,dir_m5,460,-7.858478178900825
T1,MPC,dir_m5,480,-9.016247230984158
T1,MPC,dir_m5,500,-10.89663801223416
T1,MPC,dir_m5,520,-12.833137602511936
T1,MPC,dir_m5,540,-13.256054026123048
T1,MPC,dir_m5,560,-14.749696932373046
T1,MPC,dir_m5,580,-12.941781595567493
T1,MPC,dir_m5,600,-11.654274398251005
T1,MPC,dir_m5,620,-11.647419995473227
T1,MPC,dir_m5,640,-12.979230769778782
T1,MPC,dir_m5,660,-12.588111231584339
T1,MPC,dir_m5,680,-13.580770742001004
T1,MPC,dir_m5,700,-12.32085179755656
T1,MPC,dir_m5,720,-12.144140832278783
T1,MPC,dir_m5,740,-9.460223276723227
T1,MPC,dir_m5,760,-7.491313915612115
T1,MPC,dir_m5,780,-7.090681408667671
T1,MPC,dir_m5,800,-6.916835659653557
T1,MPC,dir_m5,820,-4.5316718679868915
T1,MPC,dir_m5,840,-5.385368541598003
T1,MPC,dir_m5,860,-6.365185114514669
T1,MPC,dir_m5,880,-6.8992665138202245
T1,MPC,dir_m5,900,-8.229254624931336
T1,MPC,dir_m5,920,-7.555674541598004
T1,MPC,dir_m5,940,-9.239751340209114
T1,MPC,dir_m5,960,-10.003022640556336
T1,MPC,dir_m5,980,-9.397610769028558
T1,MPC,dir_m5,1000,-11.713797937225342
T1,MPC,dir_m5,1020,-9.59538074625312
T1,MPC,dir_m5,1040,-11.046588544864232
T1,MPC,dir_m5,1060,-11.090304739308674
T1,MPC,dir_m5,1080,-11.648080916392008
T1,MPC,dir_m5,1100,-11.618365780975342
T1,MPC,dir_m5,1120,-10.119096008405897
T1,MPC,dir_m5,1140,-7.6594137236836755
T1,MPC,dir_m5,1160,-6.13831368548923
T1,MPC,dir_m5,1180,-3.0463754250725636
T1,MPC,dir_m5,1200,-1.3969681970655654
T1,MPC,dir_m5,1220,-1.4107114626905655
T1,MPC,dir_m5,1240,-2.2296997335238986
T1,MPC,dir_m5,1260,-2.8884939939405654
T1,MPC,dir_m5,1280,-2.3370114626905654
T1,MPC,dir_m5,1300,-2.9997787890794543
T1,MPC,dir_m5,1320,-2.8195840850863987
T1,MPC,dir_m5,1340,-1.085786234391954
T1,MPC,dir_m5,1360,-2.1369343099127875
T1,MPC,dir_m5,1380,-2.923791510433621
T1,MPC,dir_m5,1400,-2.6151878259073893
T1,MPC,dir_m5,1420,-3.149969077643501
T1,MPC,dir_m5,1440,-4.925598484761556
T1,MPC,dir_m5,1460,-5.830628683546279
T1,MPC,dir_m5,1480,-8.206502389275446
T1,MPC,dir_m5,1500,-8.767389557678223
T1,MPC,dir_m5,1520,-8.963145191358779
T1,MPC,dir_m5,1540,-7.327381342400445
T1,MPC,dir_m5,1560,-7.995654958719889
T1,MPC,dir_m5,1580,-8.503235267747668
T1,MPC,dir_m5,1600,-9.44301717493693
T1,MPC,dir_m5,1620,-9.378795989173042
T1,MPC,dir_m5,1640,-10.257046237436931
T1,MPC,dir_m5,1660,-10.816896447506377
T1,MPC,dir_m5,1680,-11.246093287784152
T1,MPC,dir_m5,1700,-11.140203508270265
T1,MPC,dir_m5,1720,-10.851497111568875
T1,MPC,dir_m5,1740,-9.526247296464708
T1,MPC,dir_m5,1760,-7.681151697506375
T1,MPC,dir_m5,1780,-6.943920618513319
T1,MPC,dir_m5,1800,-8.238879756226858
T1,MPC,dir_m5,1820,-7.534969521851858
T1,MPC,dir_m5,1840,-7.845572929837969
T1,MPC,dir_m5,1860,-9.284657975844913
T1,MPC,dir_m5,1880,-9.492660335219913
T1,MPC,dir_m5,1900,-9.195628725844912
T1,MPC,dir_m5,1920,-8.859634229317136
T1,MPC,dir_m5,1940,-6.9255064888657465
T1,MPC,dir_m5,1960,-5.974797568726858
T1,MPC,dir_m5,1980,-5.090092412476857
T1,MPC,dir_m5,2000,-3.1432436451157466
T1,MPC,dir_m5,2020,-0.481388351712968
T1,MPC,dir_m5,2040,0.480713700370365
T1,MPC,dir_m5,2060,0.8645758913425876
T1,MPC,dir_m5,2080,0.6470245493286981
T1,MPC,dir_m5,2100,2.6502255970717545
T1,MPC,dir_m5,2120,3.793093816689809
T1,MPC,dir_m5,2140,2.0375437628703645
T1,MPC,dir_m5,2160,0.42663127328703165
T1,MPC,dir_m5,2180,1.0383931274536984
T1,MPC,dir_m5,2200,0.911610775023143
T1,MPC,dir_m5,2220,-0.7673638933796356
T1,MPC,dir_m5,2240,-2.132793961956024
T1,MPC,dir_m5,2260,-3.9454872683796354
T1,MPC,dir_m5,2280,-5.775701297893525
T1,lookup,dir_m5,0,0.0
T1,lookup,dir_m5,20,0.0
T1,lookup,dir_m5,40,0.0
T1,lookup,dir_m5,60,0.0
T1,lookup,dir_m5,80,0.0
T1,lookup,dir_m5,100,0.0
T1,lookup,dir_m5,120,0.0
T1,lookup,dir_m5,140,0.0
T1,lookup,dir_m5,160,0.0
T1,lookup,dir_m5,180,0.0
T1,lookup,dir_m5,200,-1.1022673189866807
T1,lookup,dir_m5,220,-3.0304156364237467
T1,lookup,dir_m5,240,-6.152331613715278
T1,lookup,dir_m5,260,-9.48227074392361
T1,lookup,dir_m5,280,-11.5551309609375
T1,lookup,dir_m5,300,-13.468379546006945
T1,lookup,dir_m5,320,-15.189310212673611
T1,lookup,dir_m5,340,-16.401245410590278
T1,lookup,dir_m5,360,-17.010477296006947
T1,lookup,dir_m5,380,-17.11319235677083
T1,lookup,dir_m5,400,-18.95898999565972
T1,lookup,dir_m5,420,-21.104638881076387
T1,lookup,dir_m5,440,-24.00513816232639
T1,lookup,dir_m5,460,-27.392015578993057
T1,lookup,dir_m5,480,-27.356456124131945
T1,lookup,dir_m5,500,-28.164708464409724
T1,lookup,dir_m5,520,-28.930825370659726
T1,lookup,dir_m5,540,-27.20015558940972
T1,lookup,dir_m5,560,-28.08939539149306
T1,lookup,dir_m5,580,-25.321867315104168
T1,lookup,dir_m5,600,-23.110082783854168
T1,lookup,dir_m5,620,-21.198003089409724
T1,lookup,dir_m5,640,-20.535487124131944
T1,lookup,dir_m5,660,-19.847438901909722
T1,lookup,dir_m5,680,-18.907007533854166
T1,lookup,dir_m5,700,-14.29715116232639
T1,lookup,dir_m5,720,-10.998786884548611
T1,lookup,dir_m5,740,-8.1015349921875
T1,lookup,dir_m5,760,-3.830580881076389
T1,lookup,dir_m5,780,-2.784905381076389
T1,lookup,dir_m5,800,-1.2745367890625
T1,lookup,dir_m5,820,0.9668185720486111
T1,lookup,dir_m5,840,-4.019674278645834
T1,lookup,dir_m5,860,-7.331130150173612
T1,lookup,dir_m5,880,-9.017593014756944
T1,lookup,dir_m5,900,-8.58009787934028
T1,lookup,dir_m5,920,-8.343644292534723
T1,lookup,dir_m5,940,-11.394147136284722
T1,lookup,dir_m5,960,-11.773080818576389
T1,lookup,dir_m5,980,-12.219002516493056
T1,lookup,dir_m5,1000,-17.624237266493054
T1,lookup,dir_m5,1020,-14.578990301215278
T1,lookup,dir_m5,1040,-16.033297436631944
T1,lookup,dir_m5,1060,-15.483991453993056
T1,lookup,dir_m5,1080,-15.772086801215277
T1,lookup,dir_m5,1100,-14.033613953993056
T1,lookup,dir_m5,1120,-5.055894894965278
T1,lookup,dir_m5,1140,0.9078758723958331
T1,lookup,dir_m5,1160,3.9042506953125002
T1,lookup,dir_m5,1180,7.126436306423612
T1,lookup,dir_m5,1200,12.029029061631945
T1,lookup,dir_m5,1220,13.272646900173612
T1,lookup,dir_m5,1240,13.360893019965278
T1,lookup,dir_m5,1260,12.582397438368057
T1,lookup,dir_m5,1280,12.693016078125
T1,lookup,dir_m5,1300,13.300007413194445
T1,lookup,dir_m5,1320,14.914610312499999
T1,lookup,dir_m5,1340,18.013939091145836
T1,lookup,dir_m5,1360,18.5694732578125
T1,lookup,dir_m5,1380,19.36237303125
T1,lookup,dir_m5,1400,19.808745263020835
T1,lookup,dir_m5,1420,19.289281300347223
T1,lookup,dir_m5,1440,16.45373928125
T1,lookup,dir_m5,1460,14.495417526041667
T1,lookup,dir_m5,1480,11.889310218750001
T1,lookup,dir_m5,1500,11.08664820138889
T1,lookup,dir_m5,1520,12.264953946180556
T1,lookup,dir_m5,1540,16.124538378472224
T1,lookup,dir_m5,1560,16.496547786458333
T1,lookup,dir_m5,1580,16.150524161458335
T1,lookup,dir_m5,1600,15.619850210069444
T1,lookup,dir_m5,1620,16.712631291666668
T1,lookup,dir_m5,1640,16.277246442708332
T1,lookup,dir_m5,1660,15.468988862847223
T1,lookup,dir_m5,1680,15.458382753472222
T1,lookup,dir_m5,1700,16.10437546527778
T1,lookup,dir_m5,1720,16.244911581597222
T1,lookup,dir_m5,1740,18.20727386545139
T1,lookup,dir_m5,1760,20.885060665798612
T1,lookup,dir_m5,1780,21.256986798611113
T1,lookup,dir_m5,1800,19.92661544965278
T1,lookup,dir_m5,1820,21.173105970486112
T1,lookup,dir_m5,1840,22.005205395833336
T1,lookup,dir_m5,1860,22.000532216145835
T1,lookup,dir_m5,1880,22.099220815104168
T1,lookup,dir_m5,1900,21.697749657118056
T1,lookup,dir_m5,1920,22.89433313107639
T1,lookup,dir_m5,1940,26.155033861111114
T1,lookup,dir_m5,1960,26.260728130208335
T1,lookup,dir_m5,1980,26.778366595486112
T1,lookup,dir_m5,2000,28.999107725694444
T1,lookup,dir_m5,2020,32.10531356076389
T1,lookup,dir_m5,2040,33.64603602430556
T1,lookup,dir_m5,2060,34.05684211458334
T1,lookup,dir_m5,2080,32.76700961111111
T1,lookup,dir_m5,2100,34.30367936545139
T1,lookup,dir_m5,2120,34.99460523611111
T1,lookup,dir_m5,2140,34.25124789583334
T1,lookup,dir_m5,2160,33.115453638888894
T1,lookup,dir_m5,2180,33.91075010069445
T1,lookup,dir_m5,2200,33.802632875
T1,lookup,dir_m5,2220,32.12284017013889
T1,lookup,dir_m5,2240,31.27209420920139
T1,lookup,dir_m5,2260,29.558157462673613
T1,lookup,dir_m5,2280,27.917199355034725
T1,MPC,dir_m2,0,0.0
T1,MPC,dir_m2,20,0.0
T1,MPC,dir_m2,40,0.0
T1,MPC,dir_m2,60,0.0
T1,MPC,dir_m2,80,0.0
T1,MPC,dir_m2,100,0.0
T1,MPC,dir_m2,120,0.0
T1,MPC,dir_m2,140,0.0
T1,MPC,dir_m2,160,0.0
T1,MPC,dir_m2,180,0.0
T1,MPC,dir_m2,200,-0.9335771774553061
T1,MPC,dir_m2,220,-1.1408850906497505
T1,MPC,dir_m2,240,-1.5083646375247506
T1,MPC,dir_m2,260,-1.9208893371775284
T1,MPC,dir_m2,280,-1.8648386218997506
T1,MPC,dir_m2,300,-1.8964720628719727
T1,MPC,dir_m2,320,-1.9476257764136395
T1,MPC,dir_m2,340,-2.0366543441219727
T1,MPC,dir_m2,360,-1.9838715125247504
T1,MPC,dir_m2,380,-1.8346345837053062
T1,MPC,dir_m2,400,-3.3300815928002194
T1,MPC,dir_m2,420,-4.3633510025224425
T1,MPC,dir_m2,440,-5.559457818494664
T1,MPC,dir_m2,460,-7.204991210855775
T1,MPC,dir_m2,480,-8.418029867105776
T1,MPC,dir_m2,500,-9.938517509466887
T1,MPC,dir_m2,520,-11.600679113633554
T1,MPC,dir_m2,540,-11.92507363793911
T1,MPC,dir_m2,560,-13.303454641411331
T1,MPC,dir_m2,580,-11.374720485161333
T1,MPC,dir_m2,600,-10.60999251952709
T1,MPC,dir_m2,620,-11.040149363277092
T1,MPC,dir_m2,640,-12.817498457027092
T1,MPC,dir_m2,660,-12.98481371744376
T1,MPC,dir_m2,680,-14.129213929249314
T1,MPC,dir_m2,700,-12.71962635980487
T1,MPC,dir_m2,720,-12.065362877165978
T1,MPC,dir_m2,740,-8.819732498693757
T1,MPC,dir_m2,760,-5.735082825082646
T1,MPC,dir_m2,780,-4.7484593563326465
T1,MPC,dir_m2,800,-5.9926357262281575
T1,MPC,dir_m2,820,-3.713026281783713
T1,MPC,dir_m2,840,-6.225436344283714
T1,MPC,dir_m2,860,-8.932509760950381
T1,MPC,dir_m2,880,-11.109982160255935
T1,MPC,dir_m2,900,-12.001621556089269
T1,MPC,dir_m2,920,-12.311930618589269
T1,MPC,dir_m2,940,-14.960720337339268
T1,MPC,dir_m2,960,-15.63843352657538
T1,MPC,dir_m2,980,-14.901531627269826
T1,MPC,dir_m2,1000,-16.934021867429603
T1,MPC,dir_m2,1020,-12.11915522506849
T1,MPC,dir_m2,1040,-11.967122912568492
T1,MPC,dir_m2,1060,-10.23305591256849
T1,MPC,dir_m2,1080,-9.772608811874047
T1,MPC,dir_m2,1100,-8.688085117429601
T1,MPC,dir_m2,1120,-3.3573189924296005
T1,MPC,dir_m2,1140,0.7394041082648437
T1,MPC,dir_m2,1160,2.6317734277092883
T1,MPC,dir_m2,1180,5.309403861737066
T1,MPC,dir_m2,1200,8.614399788726303
T1,MPC,dir_m2,1220,9.646727257476304
T1,MPC,dir_m2,1240,10.264503444976304
T1,MPC,dir_m2,1260,9.649561856434637
T1,MPC,dir_m2,1280,9.608740192372137
T1,MPC,dir_m2,1300,8.54873891633047
T1,MPC,dir_m2,1320,8.474847536122137
T1,MPC,dir_m2,1340,10.66371822709436
T1,MPC,dir_m2,1360,9.748540362511028
T1,MPC,dir_m2,1380,9.999610714073526
T1,MPC,dir_m2,1400,10.63717253006016
T1,MPC,dir_m2,1420,11.017924807837936
T1,MPC,dir_m2,1440,10.00737434429627
T1,MPC,dir_m2,1460,8.814089461483771
T1,MPC,dir_m2,1480,7.061340957143493
T1,MPC,dir_m2,1500,6.277027214087937
T1,MPC,dir_m2,1520,6.6913457366573805
T1,MPC,dir_m2,1540,8.97728048492127
T1,MPC,dir_m2,1560,9.143057976240714
T1,MPC,dir_m2,1580,8.148595754018492
T1,MPC,dir_m2,1600,6.550739327167856
T1,MPC,dir_m2,1620,5.974699525084523
T1,MPC,dir_m2,1640,4.218828733417855
T1,MPC,dir_m2,1660,3.371555589320634
T1,MPC,dir_m2,1680,2.7878199365428555
T1,MPC,dir_m2,1700,2.5124821691817454
T1,MPC,dir_m2,1720,2.7551049417511893
T1,MPC,dir_m2,1740,3.8855365433136893
T1,MPC,dir_m2,1760,5.424291850605357
T1,MPC,dir_m2,1780,5.229815134459523
T1,MPC,dir_m2,1800,3.172345384660006
T1,MPC,dir_m2,1820,3.314935570423896
T1,MPC,dir_m2,1840,3.40441598361834
T1,MPC,dir_m2,1860,2.9007369271947274
T1,MPC,dir_m2,1880,2.847904788305839
T1,MPC,dir_m2,1900,2.7468604324030617
T1,MPC,dir_m2,1920,4.2810472587919515
T1,MPC,dir_m2,1940,7.3636160704238955
T1,MPC,dir_m2,1960,8.219217066951675
T1,MPC,dir_m2,1980,9.636911066951672
T1,MPC,dir_m2,2000,12.824581714521116
T1,MPC,dir_m2,2020,16.104869485354453
T1,MPC,dir_m2,2040,17.588156811743342
T1,MPC,dir_m2,2060,17.68039385688223
T1,MPC,dir_m2,2080,17.236072329104452
T1,MPC,dir_m2,2100,19.326369281361398
T1,MPC,dir_m2,2120,20.352766506187784
T1,MPC,dir_m2,2140,19.461537671118343
T1,MPC,dir_m2,2160,18.604737973201672
T1,MPC,dir_m2,2180,19.59443370236834
T1,MPC,dir_m2,2200,19.3703414610489
T1,MPC,dir_m2,2220,17.976052504451673
T1,MPC,dir_m2,2240,16.743481967125284
T1,MPC,dir_m2,2260,14.764269694555843
T1,MPC,dir_m2,2280,13.254884906361397
T1,lookup,dir_m2,0,0.0
T1,lookup,dir_m2,20,0.0
T1,lookup,dir_m2,40,0.0
T1,lookup,dir_m2,60,0.0
T1,lookup,dir_m2,80,0.0
T1,lookup,dir_m2,100,0.0
T1,lookup,dir_m2,120,0.0
T1,lookup,dir_m2,140,0.0
T1,lookup,dir_m2,160,0.0
T1,lookup,dir_m2,180,0.0
T1,lookup,dir_m2,200,-1.1022673189866807
T1,lookup,dir_m2,220,-3.0304156364237467
T1,lookup,dir_m2,240,-6.152331613715278
T1,lookup,dir_m2,260,-9.48227074392361
T1,lookup,dir_m2,280,-11.5551309609375
T1,lookup,dir_m2,300,-13.468379546006945
T1,lookup,dir_m2,320,-15.189310212673611
T1,lookup,dir_m2,340,-16.401245410590278
T1,lookup,dir_m2,360,-17.010477296006947
T1,lookup,dir_m2,380,-17.11319235677083
T1,lookup,dir_m2,400,-18.95898999565972
T1,lookup,dir_m2,420,-21.104638881076387
T1,lookup,dir_m2,440,-24.00513816232639
T1,lookup,dir_m2,460,-27.392015578993057
T1,lookup,dir_m2,480,-27.356456124131945
T1,lookup,dir_m2,500,-28.164708464409724
T1,lookup,dir_m2,520,-28.930825370659726
T1,lookup,dir_m2,540,-27.20015558940972
T1,lookup,dir_m2,560,-28.08939539149306
T1,lookup,dir_m2,580,-25.321867315104168
T1,lookup,dir_m2,600,-23.11008351263258
T1,lookup,dir_m2,620,-21.197996641104805
T1,lookup,dir_m2,640,-20.535480547354805
T1,lookup,dir_m2,660,-19.8474329848548
T1,lookup,dir_m2,680,-18.90701071749369
T1,lookup,dir_m2,700,-14.297160752215916
T1,lookup,dir_m2,720,-10.998816714021473
T1,lookup,dir_m2,740,-8.101556457077027
T1,lookup,dir_m2,760,-3.8305834119381377
T1,lookup,dir_m2,780,-2.7848838320770266
T1,lookup,dir_m2,800,-1.274500477522108
T1,lookup,dir_m2,820,0.966825098866781
T1,lookup,dir_m2,840,-4.0197626198832195
T1,lookup,dir_m2,860,-7.331104619883218
T1,lookup,dir_m2,880,-9.017553484466553
T1,lookup,dir_m2,900,-8.580027317799887
T1,lookup,dir_m2,920,-8.343623269188775
T1,lookup,dir_m2,940,-11.394145255299886
T1,lookup,dir_m2,960,-11.773083382035995
T1,lookup,dir_m2,980,-12.218987118147108
T1,lookup,dir_m2,1000,-17.624209346925525
T1,lookup,dir_m2,1020,-14.578740989286635
T1,lookup,dir_m2,1040,-16.033107162897746
T1,lookup,dir_m2,1060,-15.483746905953302
T1,lookup,dir_m2,1080,-15.771839017064414
T1,lookup,dir_m2,1100,-14.03334569761997
T1,lookup,dir_m2,1120,-5.055487197619968
T1,lookup,dir_m2,1140,0.9081727121022545
T1,lookup,dir_m2,1160,3.9045282746022547
T1,lookup,dir_m2,1180,7.126707385713365
T1,lookup,dir_m2,1200,12.029137537143283
T1,lookup,dir_m2,1220,13.272755464226618
T1,lookup,dir_m2,1240,13.360982505893285
T1,lookup,dir_m2,1260,12.582429998948838
T1,lookup,dir_m2,1280,12.693025959886338
T1,lookup,dir_m2,1300,13.30001164738634
T1,lookup,dir_m2,1320,14.914588248080785
T1,lookup,dir_m2,1340,18.014054387837728
T1,lookup,dir_m2,1360,18.56961570207384
T1,lookup,dir_m2,1380,19.362329201205785
T1,lookup,dir_m2,1400,19.80850839217801
T1,lookup,dir_m2,1420,19.28883546769884
T1,lookup,dir_m2,1440,16.453314668219676
T1,lookup,dir_m2,1460,14.49512722377523
T1,lookup,dir_m2,1480,11.889082824469671
T1,lookup,dir_m2,1500,11.086391341830783
T1,lookup,dir_m2,1520,12.264615176900227
T1,lookup,dir_m2,1540,16.124139326205785
T1,lookup,dir_m2,1560,16.496202456414117
T1,lookup,dir_m2,1580,16.150219847039118
T1,lookup,dir_m2,1600,15.619601645650226
T1,lookup,dir_m2,1620,16.71238911787245
T1,lookup,dir_m2,1640,16.277101841830785
T1,lookup,dir_m2,1660,15.468778593566894
T1,lookup,dir_m2,1680,15.458148079678006
T1,lookup,dir_m2,1700,16.104107463358563
T1,lookup,dir_m2,1720,16.24464080363634
T1,lookup,dir_m2,1740,18.206985441657174
T1,lookup,dir_m2,1760,20.884801771518287
T1,lookup,dir_m2,1780,21.256720793219674
T1,lookup,dir_m2,1800,19.926295706414116
T1,lookup,dir_m2,1820,21.172738465094675
T1,lookup,dir_m2,1840,22.004813435580786
T1,lookup,dir_m2,1860,22.000136594434952
T1,lookup,dir_m2,1880,22.098817505893287
T1,lookup,dir_m2,1900,21.697336703809952
