cell,family,segments,updates,time_s,online_seconds,fallback_reasons,predicted_initial_MW,predicted_best_MW,evaluations
OC-73090801__T1,T1,1,1,0,65.98862140160054,,10.086343765258789,10.098901748657227,2
OC-73090801__T1,T1,1,1,200,67.25034894794226,,12.996577262878418,13.025373458862305,2
OC-73090801__T1,T1,1,1,400,65.4704629201442,,13.585744857788086,13.592207908630371,2
OC-73090801__T1,T1,1,1,600,65.45554896537215,,12.516029357910156,12.531535148620605,2
OC-73090801__T1,T1,1,1,800,65.48893189523369,,9.406542778015137,9.414222717285156,2
OC-73090801__T1,T1,1,1,1000,65.481770016253,,6.278904438018799,6.292890548706055,2
OC-73090801__T1,T1,1,1,1200,65.49624304287136,,5.78039026260376,5.792334079742432,2
OC-73090801__T1,T1,1,1,1400,65.49511767551303,,5.767632961273193,5.773718357086182,2
OC-73090801__T1,T1,1,1,1600,65.46705243550241,,5.825368881225586,5.833024024963379,2
OC-73090801__T1,T1,1,2,0,97.58830495644361,,10.086343765258789,10.110919952392578,3
OC-73090801__T1,T1,1,2,200,99.19513292331249,,13.033610343933105,13.084551811218262,3
OC-73090801__T1,T1,1,2,400,97.04869776871055,,13.623478889465332,13.643668174743652,3
OC-73090801__T1,T1,1,2,600,97.03814896568656,,12.577160835266113,12.615394592285156,3
OC-73090801__T1,T1,1,2,800,97.06723726447672,,9.479660987854004,9.486348152160645,3
OC-73090801__T1,T1,1,2,1000,97.05900460481644,,6.2874369621276855,6.310443878173828,3
OC-73090801__T1,T1,1,2,1200,97.05816068220884,,5.767751216888428,5.79048490524292,3
OC-73090801__T1,T1,1,2,1400,97.0640352955088,,5.764678001403809,5.782828330993652,3
OC-73090801__T1,T1,1,2,1600,97.06478498037905,,5.818643093109131,5.83443021774292,3
OC-73090801__T1,T1,1,4,0,160.1342248590663,,10.086343765258789,10.133749961853027,5
OC-73090801__T1,T1,1,4,200,159.5869861440733,,13.099382400512695,13.216718673706055,5
OC-73090801__T1,T1,1,4,400,159.58613073825836,,13.787919998168945,13.855539321899414,5
OC-73090801__T1,T1,1,4,600,159.5861010570079,,12.727556228637695,12.808110237121582,5
OC-73090801__T1,T1,1,4,800,159.49431166239083,,9.52772331237793,9.59067153930664,5
OC-73090801__T1,T1,1,4,1000,159.51726202201098,,6.307253837585449,6.347255229949951,5
OC-73090801__T1,T1,1,4,1200,159.5471200477332,,5.880062103271484,5.9100542068481445,5
OC-73090801__T1,T1,1,4,1400,159.5561922751367,,5.830377578735352,5.859094619750977,5
OC-73090801__T1,T1,1,4,1600,159.49652695748955,,5.848494052886963,5.876980781555176,5
