family,arm,case,time_s,net_difference_kwh
T1,MPC,dir_m5,0,0.0
T1,MPC,dir_m5,20,0.0
T1,MPC,dir_m5,40,0.0
T1,MPC,dir_m5,60,0.0
T1,MPC,dir_m5,80,0.0
T1,MPC,dir_m5,100,0.0
T1,MPC,dir_m5,120,0.0
T1,MPC,dir_m5,140,0.0
T1,MPC,dir_m5,160,0.0
T1,MPC,dir_m5,180,0.0
T1,MPC,dir_m5,200,-1.1131307654300266
T1,MPC,dir_m5,220,-1.34694102063836
T1,MPC,dir_m5,240,-1.7304987741105822
T1,MPC,dir_m5,260,-2.2064876543189156
T1,MPC,dir_m5,280,-2.131118003277249
T1,MPC,dir_m5,300,-2.1917170067494713
T1,MPC,dir_m5,320,-2.302256237652249
T1,MPC,dir_m5,340,-2.444418803624471
T1,MPC,dir_m5,360,-2.3406042289716935
T1,MPC,dir_m5,380,-2.181407647374471
T1,MPC,dir_m5,400,-3.6514873837619355
T1,MPC,dir_m5,420,-4.751633685845269
T1,MPC,dir_m5,440,-6.145691949734157
T1,MPC,dir_m5,460,-7.858478178900825
T1,MPC,dir_m5,480,-9.016247230984158
T1,MPC,dir_m5,500,-10.89663801223416
T1,MPC,dir_m5,520,-12.833137602511936
T1,MPC,dir_m5,540,-13.256054026123048
T1,MPC,dir_m5,560,-14.749696932373046
T1,MPC,dir_m5,580,-12.941781595567493
T1,MPC,dir_m5,600,-11.654274398251005
T1,MPC,dir_m5,620,-11.647419995473227
T1,MPC,dir_m5,640,-12.979230769778782
T1,MPC,dir_m5,660,-12.588111231584339
T1,MPC,dir_m5,680,-13.580770742001004
T1,MPC,dir_m5,700,-12.32085179755656
T1,MPC,dir_m5,720,-12.144140832278783
T1,MPC,dir_m5,740,-9.460223276723227
T1,MPC,dir_m5,760,-7.491313915612115
T1,MPC,dir_m5,780,-7.090681408667671
T1,MPC,dir_m5,800,-6.916835659653557
T1,MPC,dir_m5,820,-4.5316718679868915
T1,MPC,dir_m5,840,-5.385368541598003
T1,MPC,dir_m5,860,-6.365185114514669
T1,MPC,dir_m5,880,-6.8992665138202245
T1,MPC,dir_m5,900,-8.229254624931336
T1,MPC,dir_m5,920,-7.555674541598004
T1,MPC,dir_m5,940,-9.239751340209114
T1,MPC,dir_m5,960,-10.003022640556336
T1,MPC,dir_m5,980,-9.397610769028558
T1,MPC,dir_m5,1000,-11.713797937225342
T1,MPC,dir_m5,1020,-9.59538074625312
T1,MPC,dir_m5,1040,-11.046588544864232
T1,MPC,dir_m5,1060,-11.090304739308674
T1,MPC,dir_m5,1080,-11.648080916392008
T1,MPC,dir_m5,1100,-11.618365780975342
T1,MPC,dir_m5,1120,-10.119096008405897
T1,MPC,dir_m5,1140,-7.6594137236836755
T1,MPC,dir_m5,1160,-6.13831368548923
T1,MPC,dir_m5,1180,-3.0463754250725636
T1,MPC,dir_m5,1200,-1.3969681970655654
T1,MPC,dir_m5,1220,-1.4107114626905655
T1,MPC,dir_m5,1240,-2.2296997335238986
T1,MPC,dir_m5,1260,-2.8884939939405654
T1,MPC,dir_m5,1280,-2.3370114626905654
T1,MPC,dir_m5,1300,-2.9997787890794543
T1,MPC,dir_m5,1320,-2.8195840850863987
T1,MPC,dir_m5,1340,-1.085786234391954
T1,MPC,dir_m5,1360,-2.1369343099127875
T1,MPC,dir_m5,1380,-2.923791510433621
T1,MPC,dir_m5,1400,-2.6151878259073893
T1,MPC,dir_m5,1420,-3.149969077643501
T1,MPC,dir_m5,1440,-4.925598484761556
T1,MPC,dir_m5,1460,-5.830628683546279
T1,MPC,dir_m5,1480,-8.206502389275446
T1,MPC,dir_m5,1500,-8.767389557678223
T1,MPC,dir_m5,1520,-8.963145191358779
T1,MPC,dir_m5,1540,-7.327381342400445
T1,MPC,dir_m5,1560,-7.995654958719889
T1,MPC,dir_m5,1580,-8.503235267747668
T1,MPC,dir_m5,1600,-9.44301717493693
T1,MPC,dir_m5,1620,-9.378795989173042
T1,MPC,dir_m5,1640,-10.257046237436931
T1,MPC,dir_m5,1660,-10.816896447506377
T1,MPC,dir_m5,1680,-11.246093287784152
T1,MPC,dir_m5,1700,-11.140203508270265
T1,MPC,dir_m5,1720,-10.851497111568875
T1,MPC,dir_m5,1740,-9.526247296464708
T1,MPC,dir_m5,1760,-7.681151697506375
T1,MPC,dir_m5,1780,-6.943920618513319
T1,MPC,dir_m5,1800,-8.238879756226858
T1,MPC,dir_m5,1820,-7.534969521851858
T1,MPC,dir_m5,1840,-7.845572929837969
T1,MPC,dir_m5,1860,-9.284657975844913
T1,MPC,dir_m5,1880,-9.492660335219913
T1,MPC,dir_m5,1900,-9.195628725844912
T1,MPC,dir_m5,1920,-8.859634229317136
T1,MPC,dir_m5,1940,-6.9255064888657465
T1,MPC,dir_m5,1960,-5.974797568726858
T1,MPC,dir_m5,1980,-5.090092412476857
T1,MPC,dir_m5,2000,-3.1432436451157466
T1,MPC,dir_m5,2020,-0.481388351712968
T1,MPC,dir_m5,2040,0.480713700370365
T1,MPC,dir_m5,2060,0.8645758913425876
T1,MPC,dir_m5,2080,0.6470245493286981
T1,MPC,dir_m5,2100,2.6502255970717545
T1,MPC,dir_m5,2120,3.793093816689809
T1,MPC,dir_m5,2140,2.0375437628703645
T1,MPC,dir_m5,2160,0.42663127328703165
T1,MPC,dir_m5,2180,1.0383931274536984
T1,MPC,dir_m5,2200,0.911610775023143
T1,MPC,dir_m5,2220,-0.7673638933796356
T1,MPC,dir_m5,2240,-2.132793961956024
T1,MPC,dir_m5,2260,-3.9454872683796354
T1,MPC,dir_m5,2280,-5.775701297893525
T1,lookup,dir_m5,0,0.0
T1,lookup,dir_m5,20,0.0
T1,lookup,dir_m5,40,0.0
T1,lookup,dir_m5,60,0.0
T1,lookup,dir_m5,80,0.0
T1,lookup,dir_m5,100,0.0
T1,lookup,dir_m5,120,0.0
T1,lookup,dir_m5,140,0.0
T1,lookup,dir_m5,160,0.0
T1,lookup,dir_m5,180,0.0
T1,lookup,dir_m5,200,-1.1022673189866807
T1,lookup,dir_m5,220,-3.0304156364237467
T1,lookup,dir_m5,240,-6.152331613715278
T1,lookup,dir_m5,260,-9.48227074392361
T1,lookup,dir_m5,280,-11.5551309609375
T1,lookup,dir_m5,300,-13.468379546006945
T1,lookup,dir_m5,320,-15.189310212673611
T1,lookup,dir_m5,340,-16.401245410590278
T1,lookup,dir_m5,360,-17.010477296006947
T1,lookup,dir_m5,380,-17.11319235677083
T1,lookup,dir_m5,400,-18.95898999565972
T1,lookup,dir_m5,420,-21.104638881076387
T1,lookup,dir_m5,440,-24.00513816232639
T1,lookup,dir_m5,460,-27.392015578993057
T1,lookup,dir_m5,480,-27.356456124131945
T1,lookup,dir_m5,500,-28.164708464409724
T1,lookup,dir_m5,520,-28.930825370659726
T1,lookup,dir_m5,540,-27.20015558940972
T1,lookup,dir_m5,560,-28.08939539149306
T1,lookup,dir_m5,580,-25.321867315104168
T1,lookup,dir_m5,600,-23.110082783854168
T1,lookup,dir_m5,620,-21.198003089409724
T1,lookup,dir_m5,640,-20.535487124131944
T1,lookup,dir_m5,660,-19.847438901909722
T1,lookup,dir_m5,680,-18.907007533854166
T1,lookup,dir_m5,700,-14.29715116232639
T1,lookup,dir_m5,720,-10.998786884548611
T1,lookup,dir_m5,740,-8.1015349921875
T1,lookup,dir_m5,760,-3.830580881076389
T1,lookup,dir_m5,780,-2.784905381076389
T1,lookup,dir_m5,800,-1.2745367890625
T1,lookup,dir_m5,820,0.9668185720486111
T1,lookup,dir_m5,840,-4.019674278645834
T1,lookup,dir_m5,860,-7.331130150173612
T1,lookup,dir_m5,880,-9.017593014756944
T1,lookup,dir_m5,900,-8.58009787934028
T1,lookup,dir_m5,920,-8.343644292534723
T1,lookup,dir_m5,940,-11.394147136284722
T1,lookup,dir_m5,960,-11.773080818576389
T1,lookup,dir_m5,980,-12.219002516493056
T1,lookup,dir_m5,1000,-17.624237266493054
T1,lookup,dir_m5,1020,-14.578990301215278
T1,lookup,dir_m5,1040,-16.033297436631944
T1,lookup,dir_m5,1060,-15.483991453993056
T1,lookup,dir_m5,1080,-15.772086801215277
T1,lookup,dir_m5,1100,-14.033613953993056
T1,lookup,dir_m5,1120,-5.055894894965278
T1,lookup,dir_m5,1140,0.9078758723958331
T1,lookup,dir_m5,1160,3.9042506953125002
T1,lookup,dir_m5,1180,7.126436306423612
T1,lookup,dir_m5,1200,12.029029061631945
T1,lookup,dir_m5,1220,13.272646900173612
T1,lookup,dir_m5,1240,13.360893019965278
T1,lookup,dir_m5,1260,12.582397438368057
T1,lookup,dir_m5,1280,12.693016078125
T1,lookup,dir_m5,1300,13.300007413194445
T1,lookup,dir_m5,1320,14.914610312499999
T1,lookup,dir_m5,1340,18.013939091145836
T1,lookup,dir_m5,1360,18.5694732578125
T1,lookup,dir_m5,1380,19.36237303125
T1,lookup,dir_m5,1400,19.808745263020835
T1,lookup,dir_m5,1420,19.289281300347223
T1,lookup,dir_m5,1440,16.45373928125
T1,lookup,dir_m5,1460,14.495417526041667
T1,lookup,dir_m5,1480,11.889310218750001
T1,lookup,dir_m5,1500,11.08664820138889
T1,lookup,dir_m5,1520,12.264953946180556
T1,lookup,dir_m5,1540,16.124538378472224
T1,lookup,dir_m5,1560,16.496547786458333
T1,lookup,dir_m5,1580,16.150524161458335
T1,lookup,dir_m5,1600,15.619850210069444
T1,lookup,dir_m5,1620,16.712631291666668
T1,lookup,dir_m5,1640,16.277246442708332
T1,lookup,dir_m5,1660,15.468988862847223
T1,lookup,dir_m5,1680,15.458382753472222
T1,lookup,dir_m5,1700,16.10437546527778
T1,lookup,dir_m5,1720,16.244911581597222
T1,lookup,dir_m5,1740,18.20727386545139
T1,lookup,dir_m5,1760,20.885060665798612
T1,lookup,dir_m5,1780,21.256986798611113
T1,lookup,dir_m5,1800,19.92661544965278
T1,lookup,dir_m5,1820,21.173105970486112
T1,lookup,dir_m5,1840,22.005205395833336
T1,lookup,dir_m5,1860,22.000532216145835
T1,lookup,dir_m5,1880,22.099220815104168
T1,lookup,dir_m5,1900,21.697749657118056
T1,lookup,dir_m5,1920,22.89433313107639
T1,lookup,dir_m5,1940,26.155033861111114
T1,lookup,dir_m5,1960,26.260728130208335
T1,lookup,dir_m5,1980,26.778366595486112
T1,lookup,dir_m5,2000,28.999107725694444
T1,lookup,dir_m5,2020,32.10531356076389
T1,lookup,dir_m5,2040,33.64603602430556
T1,lookup,dir_m5,2060,34.05684211458334
T1,lookup,dir_m5,2080,32.76700961111111
T1,lookup,dir_m5,2100,34.30367936545139
T1,lookup,dir_m5,2120,34.99460523611111
T1,lookup,dir_m5,2140,34.25124789583334
T1,lookup,dir_m5,2160,33.115453638888894
T1,lookup,dir_m5,2180,33.91075010069445
T1,lookup,dir_m5,2200,33.802632875
T1,lookup,dir_m5,2220,32.12284017013889
T1,lookup,dir_m5,2240,31.27209420920139
T1,lookup,dir_m5,2260,29.558157462673613
T1,lookup,dir_m5,2280,27.917199355034725
